Timestamp,P-PDG,P-TPT,T-TPT,class
0,27919500.0,19216150.0,126.6404,0
1,27919460.0,19216070.0,126.6399,0
2,27919500.0,19216100.0,126.6403,0
3,27919470.0,19216990.0,126.6407,0
4,27919500.0,19216170.0,126.6401,0
5,27919470.0,19216860.0,126.6404,0
6,27919500.0,19216220.0,126.6401,0
7,27919460.0,19216880.0,126.6405,0
8,27919490.0,19216220.0,126.6404,0
9,27919460.0,19216480.0,126.6403,0
10,27919500.0,19216940.0,126.6406,0
11,27919470.0,19216170.0,126.6403,0
12,27919510.0,19216490.0,126.6405,0
13,27919470.0,19216080.0,126.6401,0
14,27919510.0,19216070.0,126.6404,0
15,27919470.0,19216110.0,126.6405,0
16,27919500.0,19216940.0,126.6403,0
17,27919470.0,19216160.0,126.6403,0
18,27919510.0,19216390.0,126.6401,0
19,27919470.0,19216990.0,126.6405,0
20,27919510.0,19216180.0,126.6398,0
21,27919470.0,19216420.0,126.6401,0
22,27919510.0,19216140.0,126.6404,0
23,27919470.0,19216140.0,126.64,0
24,27919510.0,19216060.0,126.6402,0
25,27919470.0,19216920.0,126.6406,0
26,27919510.0,19216230.0,126.6403,0
27,27919480.0,19217010.0,126.6406,0
28,27919510.0,19216190.0,126.6401,0
29,27919470.0,19216960.0,126.6404,0
30,27919500.0,19216230.0,126.6405,0
31,27919470.0,19216980.0,126.6404,0
32,27919500.0,19216200.0,126.6397,0
33,27919470.0,19216480.0,126.6402,0
34,27919500.0,19217000.0,126.6407,0
35,27919470.0,19216180.0,126.64,0
36,27919510.0,19216490.0,126.6403,0
37,27919480.0,19216200.0,126.6404,0
38,27919520.0,19216090.0,126.6402,0
39,27919480.0,19216120.0,126.6404,0
40,27919520.0,19216940.0,126.6402,0
41,27919480.0,19216170.0,126.6403,0
42,27919520.0,19216410.0,126.64,0
43,27919480.0,19216990.0,126.6404,0
44,27919520.0,19216240.0,126.6403,0
45,27919480.0,19216430.0,126.6402,0
46,27919520.0,19216160.0,126.6402,0
47,27919480.0,19216090.0,126.6399,0
48,27919520.0,19216060.0,126.6401,0
49,27919480.0,19216880.0,126.6399,0
50,27919520.0,19216190.0,126.64,0
51,27919480.0,19216470.0,126.6404,0
52,27919520.0,19216950.0,126.6402,0
53,27919480.0,19216300.0,126.6402,0
54,27919520.0,19216450.0,126.6398,0
55,27919480.0,19216090.0,126.6401,0
56,27919520.0,19216140.0,126.6402,0
57,27919490.0,19216150.0,126.6403,0
58,27919520.0,19216110.0,126.6394,0
59,27919480.0,19216070.0,126.6398,0
60,27919510.0,19216090.0,126.6403,0
61,27919470.0,19216140.0,126.6398,0
62,27919510.0,19216110.0,126.64,0
63,27919470.0,19216210.0,126.6404,0
64,27919510.0,19216970.0,126.6402,0
65,27919480.0,19216270.0,126.6403,0
66,27919520.0,19216440.0,126.6399,0
67,27919490.0,19216950.0,126.6404,0
68,27919530.0,19216240.0,126.6403,0
69,27919490.0,19216440.0,126.6399,0
70,27919530.0,19216150.0,126.6403,0
71,27919490.0,19216110.0,126.6397,0
72,27919530.0,19216070.0,126.64,0
73,27919490.0,19216920.0,126.6407,0
74,27919530.0,19216240.0,126.6404,0
75,27919490.0,19216440.0,126.6396,0
76,27919520.0,19216950.0,126.6399,0
77,27919490.0,19216170.0,126.6403,0
78,27919530.0,19216450.0,126.6401,0
79,27919490.0,19216110.0,126.6401,0
80,27919520.0,19216100.0,126.6396,0
81,27919490.0,19216140.0,126.6399,0
82,27919530.0,19216960.0,126.6404,0
83,27919490.0,19216190.0,126.64,0
84,27919530.0,19216490.0,126.6402,0
85,27919490.0,19217000.0,126.6406,0
86,27919530.0,19216180.0,126.6401,0
