Timestamp,P-PDG,P-TPT,T-TPT,class
0,36981990.0,21264730.0,112.6377,0.0
1,36982070.0,21264770.0,112.6396,0.0
2,36982160.0,21264820.0,112.6416,0.0
3,36982250.0,21264860.0,112.6435,0.0
4,36982340.0,21264900.0,112.6454,0.0
5,36982430.0,21264940.0,112.6473,0.0
6,36982380.0,21264990.0,112.6492,0.0
7,36982330.0,21265030.0,112.6511,0.0
8,36982280.0,21265070.0,112.6531,0.0
9,36982240.0,21265110.0,112.655,0.0
10,36982190.0,21265160.0,112.6569,0.0
11,36982140.0,21265200.0,112.6588,0.0
12,36982090.0,21265240.0,112.6607,0.0
13,36982040.0,21265280.0,112.6627,0.0
14,36981990.0,21265330.0,112.6646,0.0
15,36981950.0,21265370.0,112.6665,0.0
16,36981900.0,21265410.0,112.6684,0.0
17,36981950.0,21265430.0,112.6703,0.0
18,36982000.0,21265440.0,112.6722,0.0
19,36982060.0,21265460.0,112.6741,0.0
20,36982110.0,21265480.0,112.6722,0.0
21,36982160.0,21265490.0,112.6703,0.0
22,36982210.0,21265510.0,112.6684,0.0
23,36982260.0,21265520.0,112.6665,0.0
24,36982320.0,21265540.0,112.6646,0.0
25,36982370.0,21265550.0,112.6627,0.0
26,36982420.0,21265570.0,112.6607,0.0
27,36982470.0,21265590.0,112.6588,0.0
28,36982430.0,21265600.0,112.6569,0.0
29,36982390.0,21265620.0,112.655,0.0
30,36982350.0,21265640.0,112.6531,0.0
31,36982320.0,21265650.0,112.6511,0.0
32,36982280.0,21265670.0,112.6492,0.0
33,36982230.0,21265680.0,112.6473,0.0
34,36982190.0,21265700.0,112.6454,0.0
35,36982150.0,21265720.0,112.6435,0.0
36,36982110.0,21265730.0,112.6416,0.0
37,36982070.0,21265750.0,112.6396,0.0
38,36982030.0,21265760.0,112.6377,0.0
39,36982030.0,21265780.0,112.6358,0.0
40,36982020.0,21265790.0,112.6339,0.0
41,36982010.0,21265810.0,112.632,0.0
42,36982000.0,21265830.0,112.6301,0.0
43,36981990.0,21265840.0,112.6282,0.0
44,36981990.0,21265860.0,112.6262,0.0
45,36981980.0,21265880.0,112.6243,0.0
46,36981970.0,21265890.0,112.6224,0.0
47,36981960.0,21265910.0,112.6205,0.0
48,36981950.0,21265920.0,112.6186,0.0
49,36981940.0,21265940.0,112.6167,0.0
50,36981940.0,21265950.0,112.6147,0.0
51,36981930.0,21265970.0,112.6128,0.0
52,36981920.0,21265990.0,112.6109,0.0
53,36981910.0,21266000.0,112.6109,0.0
54,36981900.0,21266020.0,112.6109,0.0
55,36981890.0,21266040.0,112.6109,0.0
56,36981880.0,21266050.0,112.6109,0.0
57,36981880.0,21266070.0,112.611,0.0
58,36981870.0,21266080.0,112.611,0.0
59,36981860.0,21266100.0,112.611,0.0
60,36981850.0,21266110.0,112.611,0.0
61,36981850.0,21266130.0,112.611,0.0
62,36981840.0,21266150.0,112.611,0.0
63,36981830.0,21266160.0,112.611,0.0
64,36981820.0,21266180.0,112.611,0.0
65,36981810.0,21266190.0,112.611,0.0
66,36981800.0,21266210.0,112.611,0.0
67,36981800.0,21266230.0,112.6111,0.0
68,36981790.0,21266240.0,112.6111,0.0
69,36981780.0,21266260.0,112.6111,0.0
70,36981770.0,21266280.0,112.6111,0.0
71,36981760.0,21266290.0,112.6111,0.0
72,36981750.0,21266310.0,112.6111,0.0
73,36981740.0,21266320.0,112.6111,0.0
74,36981740.0,21266340.0,112.6111,0.0
75,36981730.0,21266350.0,112.6111,0.0
76,36981720.0,21266370.0,112.6112,0.0
77,36981710.0,21266390.0,112.6112,0.0
78,36981700.0,21266400.0,112.6112,0.0
79,36981700.0,21266420.0,112.6112,0.0
80,36981690.0,21266440.0,112.6112,0.0
81,36981680.0,21266450.0,112.6112,0.0
82,36981670.0,21266470.0,112.6112,0.0
83,36981740.0,21266480.0,112.6112,0.0
84,36981800.0,21266500.0,112.6112,0.0
85,36981870.0,21266510.0,112.6112,0.0
86,36981940.0,21266530.0,112.6113,0.0
87,36982000.0,21266550.0,112.6113,0.0
88,36982070.0,21266560.0,112.6113,0.0
